time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-24 00:00:00+00:00,57,43,20,7
2026-05-25 00:00:00+00:00,46,28,34,10
2026-05-26 00:00:00+00:00,52,32,12,7
2026-05-27 00:00:00+00:00,50,36,4,4
2026-05-28 00:00:00+00:00,54,41,7,5
2026-05-29 00:00:00+00:00,59,39,10,10
2026-05-30 00:00:00+00:00,43,24,44,8
2026-05-31 00:00:00+00:00,39,24,51,9
2026-06-01 00:00:00+00:00,153,22,10,9
2026-06-02 00:00:00+00:00,71,23,10,9
2026-06-03 00:00:00+00:00,98,36,24,13
2026-06-04 00:00:00+00:00,36,22,13,9
2026-06-05 00:00:00+00:00,139,70,49,13
2026-06-06 00:00:00+00:00,52,21,90,22
