time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-13 00:00:00+00:00,122,31,82,20
2026-08-14 00:00:00+00:00,80,37,37,2
2026-08-15 00:00:00+00:00,22,9,25,6
2026-08-16 00:00:00+00:00,31,18,3,3
2026-08-17 00:00:00+00:00,31,10,8,7
2026-08-18 00:00:00+00:00,44,21,11,6
2026-08-19 00:00:00+00:00,78,47,1,1
2026-08-20 00:00:00+00:00,22,13,5,2
2026-08-21 00:00:00+00:00,58,12,8,6
2026-08-22 00:00:00+00:00,479,236,1,1
2026-08-23 00:00:00+00:00,17,11,1,1
2026-08-24 00:00:00+00:00,52,26,7,3
2026-08-25 00:00:00+00:00,221,19,6,6
2026-08-26 00:00:00+00:00,39,22,14,13
