time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-10 00:00:00+00:00,11,6,1,1
2026-01-11 00:00:00+00:00,13,5,1,1
2026-01-12 00:00:00+00:00,8,7,17,4
2026-01-13 00:00:00+00:00,8,4,29,7
2026-01-14 00:00:00+00:00,46,16,39,11
2026-01-15 00:00:00+00:00,9,5,30,11
2026-01-16 00:00:00+00:00,15,7,33,6
2026-01-17 00:00:00+00:00,6,6,2,2
2026-01-18 00:00:00+00:00,46,15,38,7
2026-01-19 00:00:00+00:00,20,10,24,9
2026-01-20 00:00:00+00:00,61,21,117,10
2026-01-21 00:00:00+00:00,41,18,133,10
2026-01-22 00:00:00+00:00,11,6,57,7
2026-01-23 00:00:00+00:00,22,12,33,7
