time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-18 00:00:00+00:00,233,98,78,56
2026-06-19 00:00:00+00:00,113,46,18,4
2026-06-20 00:00:00+00:00,106,34,14,3
2026-06-21 00:00:00+00:00,88,35,2,2
2026-06-22 00:00:00+00:00,60,28,10,5
2026-06-23 00:00:00+00:00,104,24,6,6
2026-06-24 00:00:00+00:00,84,26,9,9
2026-06-25 00:00:00+00:00,61,23,11,9
2026-06-26 00:00:00+00:00,71,19,13,12
2026-06-27 00:00:00+00:00,149,31,66,11
2026-06-28 00:00:00+00:00,99,27,19,7
2026-06-29 00:00:00+00:00,47,26,9,5
2026-06-30 00:00:00+00:00,70,21,37,24
2026-07-01 00:00:00+00:00,52,16,18,8
