time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-17 00:00:00+00:00,21,12,25,8
2026-02-18 00:00:00+00:00,1461,11,171,40
2026-02-19 00:00:00+00:00,17,13,48,16
2026-02-20 00:00:00+00:00,22,18,60,10
2026-02-21 00:00:00+00:00,22,13,37,6
2026-02-22 00:00:00+00:00,233,13,21,5
2026-02-23 00:00:00+00:00,26,21,61,10
2026-02-24 00:00:00+00:00,20,19,18,6
2026-02-25 00:00:00+00:00,13,8,51,8
2026-02-26 00:00:00+00:00,15,10,12,4
2026-02-27 00:00:00+00:00,9,5,3,3
2026-02-28 00:00:00+00:00,14,6,11,4
2026-03-01 00:00:00+00:00,9,8,69,6
2026-03-02 00:00:00+00:00,22,10,57,7
