time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-31 00:00:00+00:00,24,16,10,3
2026-08-01 00:00:00+00:00,68,20,9,9
2026-08-02 00:00:00+00:00,28,20,8,7
2026-08-03 00:00:00+00:00,34,19,33,32
2026-08-04 00:00:00+00:00,68,31,23,18
2026-08-05 00:00:00+00:00,61,15,20,16
2026-08-06 00:00:00+00:00,19,12,17,10
2026-08-07 00:00:00+00:00,108,88,11,10
2026-08-08 00:00:00+00:00,11,10,9,7
2026-08-09 00:00:00+00:00,58,23,8,8
2026-08-10 00:00:00+00:00,189,161,15,11
2026-08-11 00:00:00+00:00,10,6,8,7
2026-08-12 00:00:00+00:00,49,15,28,8
2026-08-13 00:00:00+00:00,122,31,82,20
