time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-13 00:00:00+00:00,19,11,2.0,2.0
2025-12-14 00:00:00+00:00,9,5,22.0,4.0
2025-12-15 00:00:00+00:00,98,39,55.0,6.0
2025-12-16 00:00:00+00:00,36,17,37.0,7.0
2025-12-17 00:00:00+00:00,173,53,322.0,12.0
2025-12-18 00:00:00+00:00,30,19,135.0,9.0
2025-12-19 00:00:00+00:00,26,20,14.0,4.0
2025-12-20 00:00:00+00:00,30,18,2.0,2.0
2025-12-21 00:00:00+00:00,30,20,,
2025-12-22 00:00:00+00:00,9,9,2.0,2.0
2025-12-23 00:00:00+00:00,14,9,7.0,3.0
2025-12-24 00:00:00+00:00,25,17,6.0,3.0
2025-12-25 00:00:00+00:00,26,13,,
2025-12-26 00:00:00+00:00,7,7,4.0,1.0
